date,negative,neutral,positive
2022-03-01,0.7832792974690508,0.7692436224062772,0.8152623648788051
2022-03-02,0.7966994094854087,0.7026590991329589,0.8333606149765861
2022-03-03,0.8741265889713821,0.6640349078821677,0.798555171655398
2022-03-04,0.7949565416809999,0.6876971339094372,0.8405228758169934
2022-03-05,0.7075521405049396,0.7348452142569287,0.8783842490092838
2022-03-06,0.6874456815114712,0.7178187307377822,0.8983242340286832
2022-03-07,0.7457745554362096,0.6727560198241193,0.8785368384641993
2022-03-08,0.7777541263763601,0.6486908846371386,0.8674298313444377
2022-03-09,0.6889837508901406,0.7515618541303974,0.8837278754143474
2022-03-10,0.7342853741648439,0.788046746102584,0.8395577263121576
2022-03-11,0.7975396216488744,0.559327453844354,0.8905653717730605
2022-03-12,0.6372901245361468,0.687438709344431,0.9431921842446084
2022-03-13,0.6940273353893861,0.6391803591583978,0.9257277878181019
2022-03-14,0.6524512243831997,0.7318657431340061,0.9154289975956542
2022-03-15,0.6847036328871895,0.5546699727498285,0.965844054833587
2022-03-16,0.7154157508724663,0.6048506748919911,0.9256463434125104
2022-03-17,0.6824569088072789,0.6095628788131122,0.9451880888215773
2022-03-18,0.7111831658273662,0.6044086379647787,0.9285778313022177
2022-03-19,0.654615075117478,0.6601128733742742,0.9429321080462635
2022-03-20,0.6543680927891455,0.6305164526750789,0.9550177948483033
2022-03-21,0.6699719363891489,0.6243361758989495,0.9473573433115061
2022-03-22,0.6378290217068094,0.6429688041354269,0.9607594800344729
2022-03-23,0.6499092558983666,0.674945647991014,0.9400169017644178
2022-03-24,0.6134499745741165,0.7000937644423904,0.9536016949152543
2022-03-25,0.6971374955279697,0.647846504898261,0.9202127937081406
2022-03-26,0.6383064868577137,0.6316871470015684,0.9649944960492189
2022-03-27,0.596058457338793,0.7448531545131964,0.9468807287813976
2022-03-28,0.6402625538597835,0.6674107156821467,0.9493282585296902
2022-03-29,0.6705675491123018,0.6696262013993272,0.9287215822592104
2022-03-30,0.6596708803840938,0.6910216441992848,0.9271894115091681
2022-03-31,0.6286979146931403,0.6528382390079275,0.9627228465790532
2022-04-01,0.7113768444051549,0.638254297747361,0.9148147119477289
2022-04-02,0.6690666444240554,0.6537015704024682,0.9361143194821241
2022-04-03,0.6862663112597781,0.6426307750895002,0.9293862454345009
2022-04-04,0.6719365560183432,0.6243149388910784,0.946087875462342
2022-04-05,0.5986395734255656,0.6332305688739285,0.990176746026512
2022-04-06,0.6859010659560295,0.613079220013041,0.9415307873846813
2022-04-07,0.6894110325083501,0.599709741452021,0.944634327211507
2022-04-08,0.7019115820524764,0.7113627812068104,0.8915151117444128
2022-04-09,0.5978155689653318,0.6865709503071369,0.9692208170094253
2022-04-10,0.5992596836830283,0.6078492959591245,1.0
2022-04-11,0.7470400921397345,0.6321260446164192,0.8940842520980747
2022-04-12,0.6960755574714897,0.6087364968654279,0.9366618498933579
2022-04-13,0.7246523355212325,0.6338843924456722,0.9079394639447442
2022-04-14,0.6245355021411798,0.6868549648791857,0.951724526224476
2022-04-15,0.6515139701104613,0.66986944781032,0.9410183105302566
2022-04-16,0.6544079799721403,0.6262696793777237,0.9567029616314854
2022-04-17,0.661237283152014,0.6233184266183074,0.9534494839503835
2022-04-18,0.6926584368223931,0.6638595919042325,0.9166745024757188
2022-04-19,0.6676777361052466,0.6088726497055608,0.9550803465017876
2022-04-20,0.717640246862215,0.6174055245476199,0.9191406511690224
2022-04-21,0.6367848748083803,0.6657018790337305,0.9522790850748724
2022-04-22,0.7170100835078093,0.5324311016446324,0.953788565715747
2022-04-23,0.7102481994459834,0.5722838576408315,0.9421297948260482
2022-04-24,0.6767635921486886,0.62666224104013,0.942002013760698
2022-04-25,0.6877161499531692,0.6953182001762979,0.9072142254260099
2022-04-26,0.6964872988742854,0.5656505261692879,0.9537542467781426
2022-04-27,0.6713768988730474,0.5700427803623732,0.9683193368271981
2022-04-28,0.691604527722709,0.6803142284027582,0.9107301727866218
2022-04-29,0.7231945733351011,0.6336238056890292,0.9089927635230329
2022-04-30,0.747148475214883,0.642622662942374,0.8897844386304175
2022-05-01,0.7999370635981796,0.6246707165773785,0.8626776138098408
2022-05-02,0.7763558382096633,0.5433234539997295,0.9107941979107833
2022-05-03,0.6894653853175987,0.6179896357345145,0.9372336160864615
2022-05-04,0.6915837277116498,0.6102437165945178,0.938976585230684
2022-05-05,0.7189258366313365,0.7223774232143778,0.8760089653252862
2022-05-06,0.7072666948370036,0.5881363955643505,0.9376820030541737
2022-05-07,0.7135921880172129,0.5741372128542557,0.9392077070674768
2022-05-08,0.7378757251694974,0.7047629596088254,0.8707789182254034
2022-05-09,0.8144161575016974,0.8221894343481104,0.773674229348614
2022-05-10,0.8365900975987761,0.853396813872444,0.7466755251926369
2022-05-11,0.8430221910810479,0.9452342644123828,0.7054880800506825
2022-05-12,0.8270008439270741,0.9648284856696966,0.7080153659662397
2022-05-13,0.8194287815467731,1.0,0.6987698030455188
2022-05-14,0.7845214231137194,0.9839924085263031,0.7279275385992807
2022-05-15,0.7661116378006804,0.8431947616452623,0.796633805729818
2022-05-16,0.7745567966407625,0.8016665792570226,0.8078726369320793
2022-05-17,0.8137723038940635,0.7396454243209833,0.8073517852625492
2022-05-18,0.886934984520124,0.7005522117494473,0.7755094629903394
2022-05-19,0.7628430423239108,0.7620862256794232,0.8314404264949957
2022-05-20,0.7647854111345634,0.7413772677412974,0.8385209507312474
2022-05-21,0.733794724085376,0.6987203738524811,0.8758683765008074
2022-05-22,0.7827640033004639,0.7523248505419449,0.8224145028292147
