date,score_mean,num_comments_mean,num_post
2022-03-01,0.4509846489599342,0.3791180629635339,0.15167785234899328
2022-03-02,0.6168323321128135,0.40106157918323554,0.17583892617449665
2022-03-03,0.28946760561711904,0.336327598847162,0.14630872483221477
2022-03-04,0.27237946383065476,0.38158284651736685,0.12751677852348994
2022-03-05,0.11302523367109216,0.34556420383861614,0.12348993288590604
2022-03-06,0.6185173230040887,0.9560435942181688,0.11275167785234899
2022-03-07,0.31944255246059905,0.4068680921170878,0.14630872483221477
2022-03-08,0.28769612934010724,0.4130255836159495,0.12348993288590604
2022-03-09,0.35212395093608784,0.3603648217049159,0.16778523489932887
2022-03-10,1.0,0.46963829361511367,0.1221476510067114
2022-03-11,0.5666779153706203,0.38494856037906977,0.11812080536912752
2022-03-12,0.3046690977614154,0.4060488001089233,0.09932885906040269
2022-03-13,0.7902679147837315,0.5565243159593033,0.10738255033557047
2022-03-14,0.15746277344452794,0.254453261334826,0.16375838926174496
2022-03-15,0.4722401549386701,0.33523020630682826,0.1261744966442953
2022-03-16,0.7717523850512875,0.49324505874065216,0.1087248322147651
2022-03-17,0.3283528448683221,0.3737911945979395,0.13020134228187918
2022-03-18,0.2233759495121966,0.35036866514016546,0.1436241610738255
2022-03-19,0.5054508690938768,0.35896209330772966,0.14228187919463087
2022-03-20,0.3281874233961134,0.378018886246844,0.09261744966442953
2022-03-21,0.47327119908240206,0.3068333262472856,0.138255033557047
2022-03-22,0.14414829844139077,0.2971255473971881,0.13154362416107382
2022-03-23,0.28081981858611943,0.3817730164574194,0.13288590604026845
2022-03-24,0.5337131371752977,0.4637413539163615,0.13020134228187918
2022-03-25,0.5228718989209629,0.496789700701327,0.13154362416107382
2022-03-26,0.24176888315041964,0.3415374315410534,0.12885906040268458
2022-03-27,0.18843364811506297,0.40063310088494763,0.11543624161073826
2022-03-28,0.25602125440730994,0.40947969089946634,0.1395973154362416
2022-03-29,0.3870373359156445,0.38586700031828614,0.12885906040268458
2022-03-30,0.4481222106829091,0.3960700496612186,0.12348993288590604
2022-03-31,0.19067051249400324,0.32908747148036865,0.14630872483221477
2022-04-01,0.3941454163976759,0.21792170162325905,0.12885906040268458
2022-04-02,0.16683423467281908,0.3592814759118249,0.08187919463087248
2022-04-03,0.4544693176068257,0.3722114000998464,0.09932885906040269
2022-04-04,0.28771250268990745,0.3176773164458786,0.12080536912751678
2022-04-05,0.15180925911741858,0.2884866194278775,0.15838926174496645
2022-04-06,0.5771409324388806,0.3299715260410031,0.15436241610738255
2022-04-07,0.17172369270497095,0.37897171644002503,0.08590604026845637
2022-04-08,0.35805896277168064,0.3035410241494994,0.12080536912751678
2022-04-09,0.38713148267699593,0.5174497601878986,0.08053691275167785
2022-04-10,0.1946665342404529,0.3077834877907316,0.10469798657718121
2022-04-11,0.8102291438477888,0.5808379445353511,0.11946308724832215
2022-04-12,0.25675049821764395,0.3290495939347175,0.12348993288590604
2022-04-13,0.3997300311051118,0.33033106741578644,0.13288590604026845
2022-04-14,0.5546958557759942,0.4019623983405222,0.08993288590604027
2022-04-15,0.4597463259028595,0.46118297834427974,0.0912751677852349
2022-04-16,0.14330732785504044,0.3204573497577138,0.07919463087248323
2022-04-17,0.6488643699747638,0.38754673267860196,0.10335570469798658
2022-04-18,0.5455465115505181,0.46598440522649964,0.13020134228187918
2022-04-19,0.2652973868133719,0.30042961463524276,0.12348993288590604
2022-04-20,0.615763835905863,0.43007534101011435,0.10335570469798658
2022-04-21,0.3210673552829783,0.37566538254694726,0.11275167785234899
2022-04-22,0.7576045266395778,0.5314125123230946,0.0912751677852349
2022-04-23,0.0908616403170199,0.30851379080127533,0.06308724832214765
2022-04-24,0.478933456764559,0.39236038847883065,0.07114093959731543
2022-04-25,0.5837197018604378,0.4896537067357917,0.10335570469798658
2022-04-26,0.6142672692059393,0.4401040466234237,0.09395973154362416
2022-04-27,0.22329818520909547,0.4068208342022178,0.08456375838926175
2022-04-28,0.27751378467334825,0.39228966804506676,0.08187919463087248
2022-04-29,0.2728599096191091,0.4600072437522637,0.06711409395973154
2022-04-30,0.43990305749875647,0.5354460764178081,0.08187919463087248
2022-05-01,0.2460973655759254,0.41280343130118186,0.11140939597315436
2022-05-02,0.473692704970949,1.0,0.15033557046979865
2022-05-03,0.29460903653348064,0.3441583660379889,0.11140939597315436
2022-05-04,0.1866365397030342,0.35217806460109974,0.09395973154362416
2022-05-05,0.21680524551401217,0.4357295501851997,0.11140939597315436
2022-05-06,0.22649254778679093,0.3290095099300964,0.12348993288590604
2022-05-07,0.6074998330402263,0.7614523382673354,0.07785234899328859
2022-05-08,0.24038050199506875,0.3776589351049452,0.11140939597315436
2022-05-09,0.4028441090134787,0.4262280588617632,0.24295302013422818
2022-05-10,0.23060505929122355,0.33395777481635014,0.4080536912751678
2022-05-11,0.22734804134341874,0.25477420698274794,0.7865771812080536
2022-05-12,0.23519655460764904,0.16333914439308606,1.0
2022-05-13,0.19088692627324136,0.1635843380616864,0.7812080536912752
2022-05-14,0.13528244765366373,0.19043160164354095,0.5879194630872483
2022-05-15,0.3396210411237766,0.24196343659565758,0.36778523489932885
2022-05-16,0.3429157331105457,0.19758993518713996,0.3422818791946309
2022-05-17,0.15481083292318903,0.15656415333673898,0.27114093959731544
2022-05-18,0.20671846129872445,0.2159591897443001,0.27248322147651005
2022-05-19,0.4217685775514648,0.2152847848665975,0.22684563758389262
2022-05-20,0.29210271482450473,0.2713876984450194,0.2040268456375839
2022-05-21,0.15778031594687503,0.25152199002253334,0.15704697986577182
2022-05-22,0.619754680438993,0.3079098288421424,0.1597315436241611
2022-05-23,0.39413927639150087,0.2179768171296131,0.18523489932885906
2022-05-24,0.39227817229753964,0.32260794593282827,0.14496644295302014
2022-05-25,0.2593712905308316,0.2221558978694659,0.16644295302013423
2022-05-26,0.1663615428345683,0.30836564928149746,0.17986577181208055
2022-05-27,0.4008100960036652,0.3046539515093452,0.16644295302013423
2022-05-28,0.24015012092539242,0.21955744310288147,0.17986577181208055
2022-05-29,0.33490715715989544,0.23157684432462056,0.15838926174496645
2022-05-30,0.3791432726229369,0.182523932153513,0.13288590604026845
2022-05-31,0.3791432726229369,0.182523932153513,0.13288590604026845
