date,mean_comments_24h,var_comments_24h,std_comments_24h,upper_std,lower_std
2022-04-01,0.298203363914373,0.01975788088079872,0.1405627293445838,0.17463255024632904,0.10114961272973734
2022-04-02,0.3995187246202435,0.0725857019319526,0.26941733784586436,0.30956517496529207,0.22297296730499047
2022-04-03,0.5369038763534176,0.08165735343972652,0.28575750810735756,0.3448837183960344,0.2173583161121281
2022-04-04,0.45446143391097515,0.056036570057475754,0.23672044706251244,0.2871174095792942,0.178419542973926
2022-04-05,0.36766702949256197,0.05044031706815648,0.22458921850381972,0.2631189773611609,0.1800166954087978
2022-04-06,0.41520010636883387,0.0971812319504962,0.3117390446358881,0.3513107245745296,0.26596119213220304
2022-04-07,0.486104740061162,0.08185101298216511,0.286096160376481,0.3377724721500852,0.22631526196694773
2022-04-08,0.34094461433910966,0.04610309547437618,0.21471631394557839,0.2500084406615707,0.1738891927859221
2022-04-09,0.49840978593272167,0.06942125448151108,0.2634791348124384,0.3184875828408489,0.19984350892529432
2022-04-10,0.3702030894691445,0.044326139862209034,0.21053773975752907,0.25039076611664685,0.16443441623621297
2022-04-11,0.6716146101776448,0.16574234457604284,0.40711465777596717,0.4777095803875982,0.3254480729902001
2022-04-12,0.42337455125648177,0.09098745140063078,0.3016412627619616,0.34309254984700344,0.25368901738826954
2022-04-13,0.388780774101875,0.04947413279060136,0.2224278147862838,0.26419096078732013,0.17411480051219388
2022-04-14,0.4548085261764571,0.07457682682322496,0.27308758086596496,0.32107011540390323,0.21757976840420992
2022-04-15,0.5717575103435869,0.06812567530644309,0.26100895637208144,0.3269084419867479,0.18477421129139335
2022-04-16,0.4064479344840097,0.03866221873775846,0.19662710580629125,0.2427221490912064,0.14330280681469626
2022-04-17,0.47267961396401753,0.037827639226593,0.19449328838444016,0.25041618773374813,0.1297997944018612
2022-04-18,0.6612062170938554,0.122211121688803,0.34958707311455756,0.42255981707101653,0.26516974448944813
2022-04-19,0.40216726499135746,0.05182360809601109,0.22764799163623448,0.27101441769834245,0.17748024897377093
2022-04-20,0.5339528972556495,0.06649088932620548,0.25785827372067294,0.3184442151936151,0.18777041551385126
2022-04-21,0.5637833114897334,0.10860618679518946,0.32955452780259215,0.3896417551424152,0.26004359890639933
2022-04-22,0.7277388019427955,0.10836488592786919,0.3291882226445369,0.413270924726513,0.2319185201707397
2022-04-23,0.3683258507384995,0.04632056914327014,0.2152221390639684,0.2544831735505432,0.1698036516847285
2022-04-24,0.4819110264843344,0.04795316618442031,0.21898211384590366,0.2745946719949672,0.15464763301901172
2022-04-25,0.5975296874379442,0.11617639287863331,0.3408465826125199,0.4051021620608793,0.26651356356741557
2022-04-26,0.4550808213193534,0.09091884113757535,0.301527513068999,0.3476220354717867,0.24820381665139724
2022-04-27,0.5118392311052861,0.07369475118263964,0.27146777190421645,0.32789811783507233,0.20618724662047408
2022-04-28,0.45941745625908653,0.05673647185641755,0.23819418938424494,0.2892158342658839,0.17917063169074654
2022-04-29,0.5122446483180427,0.09422862111733155,0.3069668078430167,0.3610500976964039,0.2444014361008688
2022-04-30,0.5774702962851556,0.09816719313229715,0.31331644248634183,0.37650544723742474,0.24021727298343024
2022-05-01,0.5359566707195755,0.1188895252310843,0.34480360385454834,0.39978884648241914,0.28119482275652724
2022-05-02,0.5577653997378768,0.105107183683289,0.32420238074895286,0.38377257580676377,0.255289572215158
2022-05-03,0.45047713790943583,0.06397948464307392,0.2529416625292755,0.3016565450890504,0.196586645203411
2022-05-04,0.4140323285277413,0.05560489246335962,0.2358068965559736,0.2803549628357115,0.18427219268087103
2022-05-05,0.556471758594009,0.1328981346885598,0.36455196431861375,0.4211978992898101,0.29902203836991575
2022-05-06,0.4646323627177236,0.06597455988567742,0.25685513404578353,0.30737426322213246,0.19841290344967452
2022-05-07,1.0,0.1996520740475729,0.4468244331362968,0.5627382471969052,0.31273142795092557
2022-05-08,0.5034744482517224,0.1299112359345418,0.36043201291580884,0.4096089014246443,0.3035425315433152
2022-05-09,0.7241792961292174,0.5420242662417656,0.736222973182558,0.7921941101054183,0.6714736763497935
2022-05-10,0.6927933365523898,0.6663381858746844,0.8162954035609197,0.862250075727725,0.7631334906077885
2022-05-11,0.4636440492219056,1.0,1.0,1.0,1.0
2022-05-12,0.4046417503027317,0.8564263825492233,0.9254330783742406,0.921861390744234,0.9295649269530527
2022-05-13,0.38917788496905104,0.25924615565686054,0.5091622095726082,0.5315469066727717,0.4832668378375732
2022-05-14,0.5026294108611564,0.6073375279235668,0.7793186305507952,0.7999774272515546,0.7554198385425365
2022-05-15,0.48084109020290616,0.19255183581886362,0.43880728779142175,0.4793624036329656,0.3918917635037817
2022-05-16,0.4188714996702045,0.17326211222554308,0.4162476573213873,0.44927190764952435,0.3780440919708553
2022-05-17,0.3103097465709873,0.08681069248909527,0.29463654303072334,0.3200323333040939,0.2652578372706569
2022-05-18,0.42621231979030133,0.10248313445249582,0.3201298712280624,0.36074278188213676,0.273147487954208
2022-05-19,0.3404664965709426,0.051466477458130905,0.22686224335074118,0.26126114723143007,0.18706843245920707
2022-05-20,0.4560276838886205,0.0844854717526898,0.2906638466557026,0.3376332042247221,0.23632811144503246
2022-05-21,0.39900676964897147,0.06376274541818337,0.252512861886644,0.2937317327523205,0.20482948342550325
2022-05-22,0.5103487266466219,0.12686775747015355,0.35618500455543267,0.40665481398147074,0.29779982870804167
2022-05-23,0.33751717413464516,0.0692818639815838,0.2632144828492228,0.294718025470918,0.22677012340540614
2022-05-24,0.48251217578434696,0.07646203122220047,0.27651768699705354,0.32831804221286476,0.21659329095461188
2022-05-25,0.36990233796981353,0.07657117045651964,0.27671496247315513,0.3120381453291683,0.23585191452445645
2022-05-26,0.47228079784563415,0.14881681758920273,0.38576782860835185,0.4286667311131034,0.33614093294767966
2022-05-27,0.4262602347834664,0.10591510316958526,0.32544600653500927,0.36570556421978323,0.27887239388033125
2022-05-28,0.4804874709023689,0.13354775858623774,0.36544186758804437,0.4109184139097564,0.3128330667203448
2022-05-29,0.4515420100554606,0.07462193176132204,0.2731701516661768,0.32066951741490674,0.2182212851374996
2022-05-30,0.2511846291662805,0.007570537935127445,0.08700883825869327,0.11783461018836285,0.051348546785177106
2022-05-31,0.2511846291662805,0.007570537935127445,0.08700883825869327,0.11783461018836285,0.051348546785177106
