date,comm_score_mean,num_comm
2022-03-01,0.5499900766517957,0.2231293737663736
2022-03-02,0.6270434924618306,0.20985106764758657
2022-03-03,0.5592880983089614,0.20554458998743944
2022-03-04,0.5436429286126474,0.19908487349721873
2022-03-05,0.43411032147114187,0.15198277408935942
2022-03-06,0.5661641914739947,0.1800645971649022
2022-03-07,0.6999217213120951,0.20473712542616185
2022-03-08,0.7711472496799335,0.20572402655661223
2022-03-09,0.666478161373988,0.23201148394042706
2022-03-10,0.5080045371846698,0.20401937914947066
2022-03-11,0.733441787513398,0.21074825049345056
2022-03-12,0.8070198424587612,0.15153418266642743
2022-03-13,0.48491452179144223,0.18419163825587656
2022-03-14,0.531344228154576,0.19092050959985646
2022-03-15,0.43207532617465233,0.17728333034272384
2022-03-16,0.4213104866154187,0.194419522698726
2022-03-17,0.5835220018431495,0.1951372689754172
2022-03-18,0.6124844173735922,0.21308092589269692
2022-03-19,0.6092328064388595,0.19576529696752198
2022-03-20,0.5809736355421872,0.1657993899156648
2022-03-21,0.6852927128693456,0.18544769424008614
2022-03-22,0.5071748618581774,0.2013278306118787
2022-03-23,0.46119987622514547,0.18553741252467254
2022-03-24,0.6057468016023888,0.1883186793468509
2022-03-25,0.5510945664204651,0.22626951372689755
2022-03-26,0.6491977197582474,0.18939529876188768
2022-03-27,0.5000383104368787,0.19118966445361565
2022-03-28,0.6932047555662053,0.22564148573479276
2022-03-29,0.5399959080290534,0.2294993719720079
2022-03-30,0.8720994881775108,0.2137986721693881
2022-03-31,0.6409245406872133,0.23739458101561098
2022-04-01,0.5538519677558009,0.20572402655661223
2022-04-02,0.671557754488734,0.16795262874573838
2022-04-03,0.6615906676736686,0.16974699443746635
2022-04-04,0.5012762966372005,0.22079669836712723
2022-04-05,0.5270813950594555,0.19711107123631796
2022-04-06,0.5784905583940545,0.21792571326036247
2022-04-07,0.7330348750977608,0.22600035887313835
2022-04-08,0.5283485014916636,0.14785573299838506
2022-04-09,0.5397928496599512,0.139063341108918
2022-04-10,0.5058520373953554,0.1672348824690472
2022-04-11,0.5435320840553424,0.2006998026197739
2022-04-12,0.4632951699262603,0.2146958550152521
2022-04-13,0.769850097062722,0.1882289610622645
2022-04-14,0.5062518408289457,0.17575811950475506
2022-04-15,0.6419402579473286,0.19576529696752198
2022-04-16,0.4984037406879228,0.1539565763502602
2022-04-17,0.8035920237628581,0.15691727974161135
2022-04-18,0.6266797378849616,0.2505831688498116
2022-04-19,0.5269067876388267,0.17441234523595908
2022-04-20,0.5606803857532597,0.17566840122016866
2022-04-21,0.47308337435171477,0.18221783599497576
2022-04-22,0.6048903038556593,0.18526825767091334
2022-04-23,0.8876398441417989,0.16256953167055446
2022-04-24,0.6231938143467064,0.13314193432621568
2022-04-25,0.5581025685329202,0.1949578324062444
2022-04-26,0.5016928677654812,0.15162390095101383
2022-04-27,0.805278896580094,0.16122375740175848
2022-04-28,0.5723773069058249,0.14202404450026915
2022-04-29,0.8400172309755214,0.1383455948322268
2022-04-30,0.6527997244579834,0.13664094742508523
2022-05-01,0.9003810672189881,0.23326753992463664
2022-05-02,0.6578214965919846,0.26798851605957297
2022-05-03,0.5836275232357238,0.178898259465279
2022-05-04,0.5975273101964068,0.15772474430288894
2022-05-05,0.612641282669274,0.20303247801902027
2022-05-06,0.4346998257317609,0.19226628386865244
2022-05-07,0.6726397970747607,0.194419522698726
2022-05-08,0.6252806014206299,0.20527543513368024
2022-05-09,1.0,0.3934146779113583
2022-05-10,0.7377442062921622,0.6116992643100664
2022-05-11,0.8127426212325566,0.999102817154136
2022-05-12,0.7000940040098884,1.0
2022-05-13,0.8971189071229534,0.7982235779651893
2022-05-14,0.7957575005982382,0.7044679705724026
2022-05-15,0.7707000797588033,0.4150367844966804
2022-05-16,0.9497166560784842,0.3946707338955679
2022-05-17,0.5624882992627318,0.3101561098151803
2022-05-18,0.7180457546350058,0.33922483402117354
2022-05-19,0.6850327407960696,0.27974161134039116
2022-05-20,0.703645315051888,0.26143908128476584
2022-05-21,0.7262286595378883,0.2230396554817872
2022-05-22,0.73460831847899,0.22079669836712723
2022-05-23,0.628864196858234,0.2302171182486991
2022-05-24,0.9320431623653138,0.21343979903104252
2022-05-25,0.6060605767721512,0.22626951372689755
2022-05-26,0.5907042997762941,0.25937556073927864
2022-05-27,0.9052681657306082,0.23730486273102458
2022-05-28,0.6262830599891211,0.23102458280997668
2022-05-29,0.8308628768350788,0.20285304144984748
2022-05-30,0.6188921720950973,0.2144267001614929
2022-05-31,0.6188921720950973,0.2144267001614929
