date,negative,neutral,positive
2022-11-01,0.3787439613526569,0.5579710144927538,0.6376811594202898
2022-11-02,0.6163522012578616,0.4496855345911949,0.5765199161425576
2022-11-03,0.7985185185185182,0.3055555555555555,0.5703703703703702
2022-11-04,0.5777777777777777,0.598639455782313,0.4988662131519273
2022-11-05,0.5444444444444444,0.6875000000000001,0.45833333333333326
2022-11-06,0.8055436081242531,0.492831541218638,0.4415770609318995
2022-11-07,0.7695906432748537,0.46473326172574303,0.48048693161475114
2022-11-08,0.7845445862637839,0.5248328557784145,0.4320280165552371
2022-11-09,0.8216247470367157,0.46376602100799846,0.45192894542417517
2022-11-10,0.8673337780742717,0.4341783411162999,0.4460010377288563
2022-11-11,0.7924169859514686,0.4530651340996169,0.4754549808429119
2022-11-12,0.8266866473104179,0.45588648496768763,0.45434110705254277
2022-11-13,0.8463325534622174,0.42531707917744127,0.46369494725608507
2022-11-14,0.8749032614704255,0.41956882255389727,0.45149253731343275
2022-11-15,0.8444669138299067,0.41708796764408496,0.4702280642624424
2022-11-16,0.8987269805957236,0.37115313311086395,0.47039920899765164
2022-11-17,0.9010042425218838,0.39697116159175133,0.45190913484775247
2022-11-18,0.8805610344071881,0.3917378917378918,0.4668712104609541
2022-11-19,0.872261345852895,0.41475938967136156,0.45618153364632236
2022-11-20,0.933333333333333,0.37225789192081327,0.45024077046548955
