date,price_ftx
2022-11-01,26.1010744
2022-11-02,25.85684944
2022-11-03,25.02184163
2022-11-04,24.35750316
2022-11-05,25.45838532
2022-11-06,24.08401943
2022-11-07,22.2641956
2022-11-08,22.09229223
2022-11-09,5.49049023
2022-11-10,2.27946843
2022-11-11,3.50252375
2022-11-12,2.60672593
2022-11-13,2.10334528
2022-11-14,1.49853532
2022-11-15,1.49128862
2022-11-16,1.823372
2022-11-17,1.63201783
2022-11-18,1.57268982
2022-11-19,1.45761641
2022-11-20,1.4051965
