date,mean_comments_24h,var_comments_24h,std_comments_24h,upper_std,lower_std
2022-11-01,0.034144259496372176,0.00014130745812611636,0.011887281359760792,0.018269182290296823,0.002955091391930156
2022-11-02,0.13502502619019902,0.002990579659250899,0.05468619258323712,0.07772231517847235,0.0006509864986582185
2022-11-03,0.17559904883848546,0.006762571210321283,0.0822348539873531,0.10900583063755102,0.01870900263374677
2022-11-04,0.11523687580025609,0.0022710127198840124,0.04765514368758123,0.06703333224533761,0.002135687195519115
2022-11-05,0.014633254069873789,0.00010093389866151168,0.01004658641835682,0.011361754109748202,0.0066911020047016
2022-11-06,1.0,1.0,1.0,1.0,0.9609310986551188
2022-11-07,0.38932783694034123,0.1500319647820717,0.38733959877873547,0.38790970038443395,0.37092226954903906
2022-11-08,0.3522224254618621,0.5835452028950713,0.7639013044203232,0.64585770458476,1.0
2022-11-09,0.24243229531563312,0.0963244681379335,0.310361834216022,0.29088391655539564,0.3421186429947795
2022-11-10,0.1740870617790092,0.042584980427122165,0.20636128616366534,0.19710706928981414,0.2191480420678944
2022-11-11,0.16339277349239567,0.04544277970912627,0.21317312145091433,0.19889924981349327,0.23700265652758148
2022-11-12,0.2323310492324577,0.1421626032243579,0.377044563976671,0.3355498332572273,0.45579839955884366
2022-11-13,0.19752708926557994,0.04358166003612647,0.20876220931032147,0.2055406837901847,0.20786395734693067
2022-11-14,0.17211810809762157,0.03533900393156536,0.18798671211435497,0.1834365949277764,0.19089335454204506
2022-11-15,0.20216995754430894,0.06452607621986951,0.2540198343040746,0.23915255202027635,0.277590443384896
2022-11-16,0.1936134714623831,0.029563762207604677,0.1719411591434834,0.17815541470440976,0.15122334982157296
2022-11-17,0.277531545137179,0.27898996864038456,0.5281950100487363,0.4563204999444634,0.669486954774622
2022-11-18,0.21326168636258686,0.06368404607480242,0.25235698142671315,0.24114691066068616,0.2677531298890332
2022-11-19,0.22779826858027405,0.025706698452315362,0.16033308595644058,0.17967785545403858,0.11048671671943343
2022-11-20,0.33721233272523315,0.2497336220259497,0.4997335510308966,0.4531326913827199,0.5851977926590892
