date,score_mean,num_comments_mean,num_post
2022-11-01,0.466397487662629,1.0,0.006593406593406593
2022-11-02,0.03387373057628777,0.14145605431912486,0.024175824175824177
2022-11-03,0.04345318208036916,0.2169531713100178,0.015384615384615385
2022-11-04,0.03326884253028264,0.3189834024896266,0.017582417582417582
2022-11-05,0.006517977312055373,0.14937759336099585,0.015384615384615385
2022-11-06,0.6925622476446838,0.9709543568464731,0.08791208791208792
2022-11-07,0.17867029948899757,0.42789191377390956,0.2703296703296703
2022-11-08,0.28096827533166696,0.518375815056313,0.7692307692307693
2022-11-09,0.38165011808324234,0.4567936271823378,0.9318681318681319
2022-11-10,0.22395677151433968,0.3071229339352066,0.9252747252747253
2022-11-11,0.3178043856481633,0.34335593563404515,0.9010989010989011
2022-11-12,0.48500436306627426,0.4150563129816242,1.0
2022-11-13,0.55965428577168,0.4286988295039326,0.7362637362637363
2022-11-14,0.4577792732166891,0.4444360618634478,0.7252747252747253
2022-11-15,0.46757148591532666,0.4025769818737716,0.6263736263736264
2022-11-16,0.4003206696847343,0.3834873632591475,0.5802197802197803
2022-11-17,0.6917319483268339,0.5008511543781253,0.5142857142857142
2022-11-18,0.6453272437099633,0.5001700564587443,0.4021978021978022
2022-11-19,0.4776526184688938,0.4536136743667554,0.2945054945054945
2022-11-20,1.0,0.6496162743730034,0.24835164835164836
