date,comm_score_mean,num_comm
2022-11-01,0.22142691642754023,0.005331088664421998
2022-11-02,0.30502996558486045,0.012065095398428732
2022-11-03,0.25181884613328104,0.015993265993265993
2022-11-04,0.19248222146969182,0.010101010101010102
2022-11-05,0.2099806052396638,0.009259259259259259
2022-11-06,0.9634865894074108,0.13271604938271606
2022-11-07,0.5912743194859534,0.4887766554433221
2022-11-08,0.7378485156338186,1.0
2022-11-09,0.7703161740507385,0.8765432098765432
2022-11-10,0.5937743280538422,0.6910774410774411
2022-11-11,0.737725129594415,0.6565656565656566
2022-11-12,0.9568276001511479,0.8815937149270483
2022-11-13,0.5779975317254685,0.6722783389450057
2022-11-14,0.6353522915926755,0.5751964085297419
2022-11-15,0.7088878371596783,0.4657687991021324
2022-11-16,0.5325657523422507,0.4393939393939394
2022-11-17,1.0,0.5126262626262627
2022-11-18,0.90521050830208,0.36728395061728397
2022-11-19,0.669296389707406,0.281986531986532
2022-11-20,0.8966404831922538,0.31790123456790126
